,0.2,0.4,0.6,0.8,1,1.2
517,-338862,-11560,-53784,-285998,39642,6614
518,-338770,-12312,-54012,-286582,40518,6654
519,-339782,-12722,-53672,-286986,41170,6926
520,-339726,-13058,-54478,-288486,40794,6796
521,-340674,-12774,-54610,-289830,40924,7242
522,-341356,-12486,-54436,-290966,41068,6950
523,-341740,-12068,-53670,-291450,40836,6970
524,-341904,-12190,-53696,-292390,40564,6446
525,-343780,-12320,-54008,-293230,40700,6514
526,-345104,-12284,-53144,-292734,40864,6596
527,-345840,-12422,-53270,-293514,41236,7122
528,-345540,-12600,-54010,-294494,41792,7044
529,-346808,-12900,-55262,-295478,41780,6202
530,-347252,-13062,-55388,-296326,41864,5932
531,-348660,-13372,-56352,-296594,42388,5480
532,-348788,-13312,-56556,-297162,42044,4994
533,-350012,-12664,-56464,-298134,41830,5146
534,-350800,-12832,-56894,-299166,41594,5324
535,-350768,-12324,-57738,-299518,40844,5344
536,-351780,-12300,-58156,-300054,40912,4910
537,-353212,-11972,-58986,-300818,40804,4524
538,-353304,-11630,-59088,-302154,40650,4814
539,-354068,-11542,-59200,-302290,41492,4790
540,-354524,-11208,-60142,-303218,42314,4420
541,-355384,-10792,-59550,-303346,42974,4194
542,-355964,-10290,-60160,-304574,43492,4492
543,-357320,-10238,-59852,-304774,43672,4356
544,-358444,-10116,-60496,-305550,43248,4236
545,-360016,-10052,-59956,-305998,43466,4508
546,-360136,-10268,-60656,-307002,43458,4382
547,-360760,-10224,-61210,-307818,43752,3874
548,-361640,-10356,-61496,-308670,43654,4116
549,-362488,-10596,-61140,-309362,43668,4338
550,-363616,-10796,-60966,-310946,43188,4550
551,-364508,-10782,-61682,-312398,43398,4340
552,-365980,-10708,-62294,-312706,43606,4894
553,-366284,-10906,-62302,-313290,43838,5132
554,-366880,-11230,-62448,-314238,43754,5198
555,-367672,-11514,-62688,-314874,43850,5854
556,-368344,-11710,-62654,-314830,43870,5726
557,-368452,-11564,-63144,-315546,43746,5964
558,-368736,-11374,-62968,-316398,43192,6526
559,-369228,-10838,-62876,-317210,42908,6610
560,-370120,-10888,-62604,-318134,42952,6788
561,-371220,-10688,-62948,-318718,43362,6436
562,-372416,-9648,-62670,-319258,43310,6918
563,-372984,-9064,-62556,-320106,42850,7376
564,-373640,-8826,-63030,-321030,42868,6822
565,-374780,-8540,-62222,-322218,43528,7078
566,-374832,-8464,-62262,-323234,43412,7316
567,-375720,-8540,-62276,-322910,43728,7344
568,-376132,-8644,-62370,-323830,43990,7876
569,-376924,-8810,-62718,-324402,43878,7726
570,-377780,-9220,-63044,-325534,43796,7386
571,-377592,-9736,-62742,-326274,43686,6668
572,-378108,-9826,-62736,-326526,44494,6500
573,-378940,-9578,-62948,-327658,44200,6544
574,-380004,-9380,-62906,-327886,44516,6838
575,-380692,-9388,-63256,-328726,45358,7098
576,-381668,-9582,-63582,-329454,45338,7358
577,-382256,-8708,-64180,-329946,45070,6282
578,-383032,-8534,-64638,-331266,45122,6554
579,-383468,-8378,-65226,-332886,44800,6370
580,-384472,-8540,-64982,-333410,45066,5996
581,-385876,-8430,-64976,-333698,46182,6264
582,-386260,-8256,-65504,-333906,45822,5534
583,-386528,-8442,-65760,-335214,45292,5432
584,-387360,-7982,-65994,-336382,45018,5196
585,-387920,-8084,-66530,-338010,45110,4874
586,-388676,-8282,-66968,-338894,45226,4206
587,-389500,-8194,-66758,-339782,45110,4592
